                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                 1.0223,                0.59822,                 1.2676,                0.98132,                0.95949,                0.98238,                 0.7249,                0.96552,                0.37196,                 1.2248,                0.00406,                0.00406,                0.00406
                    122,                  1.018,                0.59112,                 1.2678,                0.98129,                0.95593,                0.98158,                0.72517,                0.97332,                0.37343,                 1.2273,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.0193,                 0.5891,                 1.2612,                0.98205,                0.96046,                0.98284,                0.72305,                  0.972,                0.37439,                 1.2265,               0.003961,               0.003961,               0.003961
                    124,                 1.0112,                0.57644,                 1.2447,                0.97932,                0.95946,                0.98295,                0.72664,                0.96512,                0.37259,                  1.224,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.0096,                0.58959,                 1.2603,                0.98308,                0.96084,                0.98314,                0.72366,                 0.9703,                0.37098,                 1.2265,               0.003862,               0.003862,               0.003862
                    126,                 1.0118,                0.59035,                 1.2624,                0.97983,                0.96286,                0.98256,                0.72235,                0.97077,                0.37191,                  1.226,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.0269,                0.59073,                 1.2624,                0.98341,                0.96037,                0.98244,                0.72475,                0.96802,                0.36987,                  1.221,               0.003763,               0.003763,               0.003763
                    128,                 1.0049,                0.58486,                 1.2493,                0.98213,                 0.9647,                 0.9817,                0.72423,                0.96162,                0.36766,                 1.2177,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.0131,                 0.5869,                 1.2549,                0.98095,                0.95949,                0.98178,                0.72362,                0.96224,                0.36735,                 1.2166,               0.003664,               0.003664,               0.003664
                    130,                 1.0014,                0.57709,                 1.2549,                0.98254,                0.96084,                0.98229,                0.72434,                 0.9616,                0.36525,                 1.2178,              0.0036145,              0.0036145,              0.0036145
                    131,                  1.014,                0.58011,                 1.2468,                  0.985,                0.95949,                0.98011,                0.72342,                0.96283,                 0.3676,                 1.2194,               0.003565,               0.003565,               0.003565
                    132,                 1.0047,                0.58058,                 1.2506,                0.97938,                0.96194,                0.98158,                0.72539,                0.96183,                0.37141,                 1.2197,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.0012,                0.57049,                 1.2493,                0.98409,                0.96054,                0.98334,                0.72467,                0.95629,                0.36651,                 1.2159,               0.003466,               0.003466,               0.003466
                    134,                  1.007,                0.59012,                 1.2631,                0.98206,                0.96109,                0.98324,                0.72959,                0.96046,                0.36593,                 1.2183,              0.0034165,              0.0034165,              0.0034165
                    135,                0.99598,                0.56491,                 1.2436,                0.98668,                0.95881,                0.98305,                0.72933,                0.96085,                0.36538,                 1.2169,               0.003367,               0.003367,               0.003367
                    136,                 1.0057,                0.58334,                 1.2535,                0.98405,                0.95831,                0.98247,                 0.7274,                0.96168,                0.36319,                 1.2166,              0.0033175,              0.0033175,              0.0033175
                    137,                0.98697,                0.56741,                 1.2441,                0.98537,                0.95483,                0.98023,                0.72422,                0.96801,                0.36486,                 1.2232,               0.003268,               0.003268,               0.003268
                    138,                0.99801,                 0.5798,                 1.2395,                0.97901,                0.95544,                0.97961,                0.72567,                0.96579,                0.36677,                  1.223,              0.0032185,              0.0032185,              0.0032185
                    139,                0.98894,                0.56445,                 1.2415,                  0.978,                0.96151,                0.98087,                0.72415,                0.96407,                0.36452,                 1.2212,               0.003169,               0.003169,               0.003169
                    140,                0.98769,                0.56173,                 1.2398,                0.97938,                0.96219,                  0.983,                0.72503,                0.96651,                0.36409,                 1.2235,              0.0031195,              0.0031195,              0.0031195
                    141,                0.98611,                0.56996,                 1.2351,                0.98361,                0.95814,                0.98199,                0.72617,                0.96279,                0.36124,                 1.2215,                0.00307,                0.00307,                0.00307
                    142,                0.99308,                0.56506,                 1.2385,                0.98006,                0.96235,                0.98316,                0.72562,                0.96466,                 0.3611,                 1.2207,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.0002,                0.57634,                 1.2473,                0.98203,                0.95965,                0.98191,                0.72494,                0.96441,                0.36035,                 1.2203,               0.002971,               0.002971,               0.002971
                    144,                0.99916,                0.57402,                 1.2399,                0.98087,                0.96219,                0.98195,                0.72537,                0.96194,                0.35917,                 1.2174,              0.0029215,              0.0029215,              0.0029215
                    145,                0.98473,                0.56081,                 1.2374,                0.97907,                0.96084,                0.98159,                0.72734,                0.96128,                0.36078,                 1.2159,               0.002872,               0.002872,               0.002872
                    146,                0.97566,                0.56012,                 1.2281,                0.98029,                0.95881,                0.98306,                0.72402,                0.96233,                0.35979,                 1.2179,              0.0028225,              0.0028225,              0.0028225
                    147,                0.97969,                 0.5625,                 1.2386,                0.98337,                0.95832,                0.98334,                0.72561,                0.96263,                0.36071,                 1.2188,               0.002773,               0.002773,               0.002773
                    148,                0.97776,                0.56411,                 1.2315,                0.97669,                0.96171,                0.98363,                0.72509,                0.95892,                0.36186,                 1.2182,              0.0027235,              0.0027235,              0.0027235
                    149,                0.98086,                0.57258,                 1.2335,                0.98043,                0.96219,                0.98289,                0.72196,                0.96242,                0.36319,                 1.2201,               0.002674,               0.002674,               0.002674
                    150,                0.97314,                0.55858,                 1.2272,                0.98072,                 0.9617,                0.98213,                0.72354,                0.96317,                0.36198,                 1.2228,              0.0026245,              0.0026245,              0.0026245
